t,px,py,pz,vx,vy,vz
0.00010151677236797831,5.2520103287266935e-05,-3.0140890439638124e-06,0.000682070598505189,0.006203382325576865,-0.0035669566969149485,0.004307988449669717
0.00010259551304263809,5.279262495338437e-05,-3.0296854424867376e-06,0.0006855703078163003,0.006163040112444673,-0.003543849390008937,0.004276570186386218
0.00010367428637544645,5.306363604979044e-05,-3.0451912915016154e-06,0.0006890503367312351,0.006123392468016658,-0.0035211395448033734,0.004245695822655516
0.00010475310706154865,5.3333157064940426e-05,-3.0606158763065137e-06,0.0006925114653416297,0.006084420813879906,-0.0034988166173020173,0.004215350472464496
0.00010583196412477456,5.360120174823781e-05,-3.0759589632460806e-06,0.0006959541935299736,0.006046108158317455,-0.0034768708894449348,0.004185520315290109
0.00010691087075708375,5.3867811193048326e-05,-3.0912185105299485e-06,0.0006993789652511185,0.006008437329997484,-0.003455292567125831,0.004156191416842882
0.00010798982997329987,5.413300389746598e-05,-3.1063941153690204e-06,0.0007027859197002493,0.005971392241844953,-0.003434072447922439,0.004127350684404292
0.0001090688631285133,5.4396800962586274e-05,-3.1214932249440577e-06,0.0007061753893904475,0.005934956676921699,-0.0034132012484812337,0.004098984983441705
0.00011014795494480275,5.465923412347266e-05,-3.1365123638922514e-06,0.0007095474574756555,0.005899116114996154,-0.0033926706378252713,0.00407108248534376
0.00011122708405946036,5.492028716473434e-05,-3.1514510323811086e-06,0.000712902489326054,0.005863856655270018,-0.0033724727030277346,0.004043632015665816
0.00011230624791695017,5.518000815864313e-05,-3.1663159347368277e-06,0.0007162407718547016,0.00582916432009468,-0.00335259947280219,0.004016622367156788
0.00011338546084069721,5.543839558872326e-05,-3.1811021051698524e-06,0.0007195620774089394,0.00579502502784245,-0.003333042880978375,0.003990042236917026
0.00011446471647303992,5.569546255699243e-05,-3.195809655700538e-06,0.000722866043059449,0.00576142570857154,-0.0033137954863370306,0.003963881071334417
0.0001155440441054578,5.595122091789587e-05,-3.2104420047502617e-06,0.0007261519753975109,0.005728352680996492,-0.0032948494692695315,0.0039381278575936225
0.00011662337890598436,5.620568803577225e-05,-3.2250032332058762e-06,0.0007294188263350923,0.005695795580259658,-0.003276198940407082,0.003912774200158301
0.00011770276563521807,5.645886618778216e-05,-3.2394925939084405e-06,0.000732666395743322,0.005663740998994905,-0.003257836261846888,0.0038878093191109992
0.0001187821895122449,5.6710783777877e-05,-3.2539142394926453e-06,0.0007358941606716571,0.005632177563865957,-0.00323975491479081,0.003863224047941738
0.00011986167373394215,5.696145762307417e-05,-3.2682569655503014e-06,0.0007391026481427437,0.005601093072242425,-0.0032219479400717047,0.0038390086668500163
0.00012094120211736879,5.7210913792749506e-05,-3.2825311083286103e-06,0.0007422930973071094,0.00557047689950157,-0.003204409277336322,0.0038151547968863853
0.00012202079301963215,5.74591746463674e-05,-3.2967346284939917e-06,0.0007454665816557059,0.005540317819336087,-0.003187132526546614,0.0037916536336181942
0.00012310042486928484,5.770624218707987e-05,-3.310870115925437e-06,0.000748623861796734,0.005510606060900015,-0.0031701120796329522,0.0037684974709162556
